frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.001930454136227711,0.5,0.9996956471151509,-0.0,-0.0,-8.721947579462562e-06,-0.060966260731220245,-0.0,-3.222641404652982e-08,-3.8512198795869814e-09,-3.786449638102155e-07
1,0.0018908242480558293,0.4998376431723963,0.9996987654959131,-4.698918088217048e-06,-0.0003031092863710633,-3.210889541511878e-05,-0.026797359809279442,-0.03221135213971138,-5.733127965508375e-08,-3.1692094220468085e-08,-4.552938465806339e-06
2,0.0018990962479460696,0.49988486913169883,0.9997071320631427,-1.3669185645500297e-05,-0.0006547099912135787,-9.379388069166513e-05,-0.017836807295680046,-0.01319811213761568,-4.96106391525453e-08,-3.012831196685227e-07,-1.6344957873055056e-05
3,0.001936795238934119,0.49999044193168335,0.9997192037697761,-2.309332736759246e-05,-0.0008202342022086624,-0.0001652890625172935,-0.009574536234140396,-0.011246459558606148,-3.6569015549998335e-08,-9.530538080864045e-07,-3.642437119327757e-05
4,0.0019793457038777148,0.499715873449958,0.9997336412385838,-2.9998774499960618e-05,-0.0008063961596766529,-0.0002514432274475116,-0.008915875107049942,-0.000320642429869622,-2.6455118551451353e-08,-1.968784074791805e-06,-6.383708656694314e-05
5,0.002020760743276554,0.49918447895135465,0.9997494077799498,-3.5667788113835067e-05,-0.0008007109741474091,-0.00034356814176815346,-0.008446888998150826,-0.0005995193496346474,-1.9231364618788517e-08,-3.2905689685481747e-06,-9.893795665219811e-05
6,0.0020543809276811573,0.498610752361652,0.9997658663939312,-4.0332137139742385e-05,-0.0008488071930742158,-0.00043643582452760265,-0.007829496636986732,-0.0006208545528352261,-1.4130939685346902e-08,-4.835286618005314e-06,-0.00014326133856605545
7,0.0020808462535236195,0.4981738779027888,0.9997825339861043,-4.397277516733908e-05,-0.000926055564763439,-0.0005332406767110256,-0.007015017792582512,-0.00041707573109306395,-1.0535220616968856e-08,-6.498809276290218e-06,-0.00019850304187928172
8,0.0021031830869892806,0.4979710223074952,0.9997990395313784,-4.6541587404152914e-05,-0.0010104709217578962,-0.0006395841862837541,-0.006342305801808834,-0.00029065398848615587,-8.383018480000264e-09,-8.178637904400059e-06,-0.0002662930603836625
9,0.0021226927022079552,0.4980111268004347,0.9998151107104255,-4.8198143129825864e-05,-0.0011014321298101946,-0.0007597481163130112,-0.005831528455018997,-0.0001963063405128196,-7.430081391219593e-09,-9.79294546745476e-06,-0.0003483248930291604
10,0.0021405104032926428,0.4982451566908379,0.9998305592759624,-4.906751771534159e-05,-0.001198243919984763,-0.0008956874831120287,-0.005485469475388527,-0.00011770118726417422,-7.356480999579578e-09,-1.1286353800068639e-05,-0.0004462822640683488
11,0.0021574664260954717,0.49859750283253945,0.9998452590677006,-4.925107931082109e-05,-0.0013004338988036274,-0.0010472627807248914,-0.0052751279436051846,-6.387480243574828e-05,-7.947436906591849e-09,-1.2628379772175833e-05,-0.0005618259081287547
12,0.0021741001032361163,0.49899248493443515,0.9998591300758298,-4.88385814623689e-05,-0.0014077734206953284,-0.0012132377358008378,-0.005153526086360216,-3.417095649638213e-05,-8.898482358289336e-09,-1.3807987378954845e-05,-0.0006966072541277623
13,0.002190790122706437,0.49936725487227407,0.9998721272333657,-4.791826678778972e-05,-0.0015198600575857674,-0.001391680477605449,-0.0050874133594334126,-1.8903416275861673e-05,-9.979006271492745e-09,-1.482730932129503e-05,-0.0008522771428015868
14,0.002207792223426761,0.4996758392049099,0.9998842321169624,-4.657312917494428e-05,-0.0016359724999115755,-0.001580459726441195,-0.005053963977843523,-1.1593680937949102e-05,-1.099064106940596e-08,-1.5696271507066463e-05,-0.0010304905170507362
15,0.0022252603128442095,0.499888833261689,0.999895446531739,-4.488502585740939e-05,-0.0017553639470916922,-0.0017773474142546801,-0.00503678061068058,-7.761791493976489e-06,-1.175400447758394e-08,-1.64285218791861e-05,-0.0012329036473052142
16,0.002243289779460549,0.4999911619039937,0.9999057874121245,-4.292715895047497e-05,-0.0018770929781890824,-0.001980307547972261,-0.005025649908930063,-5.679238256561803e-06,-1.213314121705035e-08,-1.703871061141724e-05,-0.001461165897368916
17,0.002261926282233146,0.49997926216787064,0.9999152827598942,-4.076875238589306e-05,-0.00200035422013083,-0.0021874435440672785,-0.005013884045183659,-4.222561528877122e-06,-1.2057350063120213e-08,-1.7540879244714472e-05,-0.0017169099026267177
18,0.002281188992169926,0.49985785271189564,0.9999239684219076,-3.8469379394614324e-05,-0.0021242731442037794,-0.0023975883928865297,-0.004997767508029938,-3.1815595775697147e-06,-1.1525448410892496e-08,-1.7947735783552178e-05,-0.0020017359995265467
19,0.0023010624096831463,0.4996362734948451,0.9999318848998492,-3.608082466614321e-05,-0.0022480426796260815,-0.0026097593757324787,-0.004974681418389082,-2.425773800496245e-06,-1.0586191040129002e-08,-1.8270392961527748e-05,-0.0023171947725012026
20,0.0023215442288935123,0.4993253375384384,0.9999390750636389,-3.364794806723671e-05,-0.002370732153371949,-0.002822873149224105,-0.004943982232362032,-1.9042757912757224e-06,-9.324868136329412e-09,-1.8518401861229702e-05,-0.00266476501039341
21,0.0023426519570382913,0.4989362712086682,0.9999455835710777,-3.1210415003224786e-05,-0.002491430152736164,-0.0030358111598486853,-0.004906104877591133,-1.5693990462750662e-06,-7.862148412192987e-09,-1.8699831919233458e-05,-0.0030458395376079354
22,0.0023644171474651423,0.49848041684250766,0.9999514563162745,-2.8802135969853415e-05,-0.002609291114482659,-0.003247474194100379,-0.004862450063228607,-1.3561459581978852e-06,-6.338747806705206e-09,-1.8821438108565734e-05,-0.0034617145271756754
23,0.002386881150912022,0.4979690447898178,0.9999567396803118,-2.645090481585479e-05,-0.002723561199045353,-0.0034568366485622846,-0.004815184511244297,-1.2090999916836154e-06,-4.931856803849664e-09,-1.8888878107984823e-05,-0.0039135828147203395
24,0.002410092048056871,0.4974130855481174,0.999961479753432,-2.417878083282225e-05,-0.0028336093762224034,-0.003662938457018426,-0.004766431637108326,-1.0918535053860978e-06,-3.776629105063279e-09,-1.890692426101123e-05,-0.004402530660362619
25,0.0024340975011696276,0.4968228378395926,0.9999657216343135,-2.200256456065896e-05,-0.0029389231674417852,-0.0038649326003128153,-0.004717979580163956,-9.942021961251157e-07,-3.1904243038883117e-09,-1.887964826532399e-05,-0.0049295390146486245
26,0.002458948049327942,0.49620773139084523,0.9999695088780661,-1.9935289716807966e-05,-0.003039163224724623,-0.004061797529133628,-0.0046715461649000645,-9.011134238789964e-07,-3.5101264929589103e-09,-1.88105767510612e-05,-0.005495486399866937
27,0.00248469307900468,0.4955769712004692,0.9999728831565374,-1.7985417920410868e-05,-0.0031340701788581853,-0.004252726514850358,-0.004628185648471117,-8.174957315532083e-07,-5.007425990075362e-09,-1.8702833437638007e-05,-0.006101152962383104
28,0.002511371565301379,0.49493881256731853,0.9999758839070376,-1.6157897296334848e-05,-0.003223541639201699,-0.004437187801331213,-0.004588352981954813,-7.507952091145853e-07,-7.952671879454182e-09,-1.8559286484755525e-05,-0.006747223304965312
29,0.002539028670649248,0.49430004335669436,0.9999785479497001,-1.4454350925132771e-05,-0.003307449439856115,-0.00461481500371656,-0.004552431870251894,-6.960797236388316e-07,-1.2759668032924688e-08,-1.8382636437227295e-05,-0.007434285766682136
30,0.0025677047280702266,0.4936659190965923,0.9999809093162431,-1.287479203042194e-05,-0.003385741227783325,-0.0047853253463909845,-0.004520345013588667,-6.574510962309432e-07,-1.967210400188232e-08,-1.8175459697485903e-05,-0.008162835173391333
31,0.0025974318005386786,0.4930406250402594,0.9999829992330207,-1.141724551035136e-05,-0.003458397264808257,-0.004948630032848911,-0.004491020459681749,-6.22802474481432e-07,-2.8978019807222702e-08,-1.7940227343148357e-05,-0.00893327479005829
32,0.002628246525073253,0.49242740881320535,0.999984846212088,-1.007916982139172e-05,-0.003525441892472299,-0.005117460858900604,-0.004463730379939079,-6.098263156673056e-07,-4.08051241821619e-08,-1.7679738978752984e-05,-0.009746302728612518
33,0.0026608482775361065,0.4917748660483984,0.9999864751084299,-8.828310589736104e-06,-0.003593503405171512,-0.005263079036464043,-0.00444374792277813,-5.882126856704417e-07,-1.274851377251575e-07,-1.7396139030815744e-05,-0.010602289977673547
34,0.0026940074177677687,0.4911922120954725,0.9999879099244178,-7.748712089696437e-06,-0.0036512802320258233,-0.005386113922724401,-0.004463016055524349,-4.6764784201513976e-05,-1.1906232044533977e-07,-1.7091056554804947e-05,-0.011500658787946445
35,0.0027275529343889575,0.49067784062664993,0.9999891706913291,-6.683919776997035e-06,-0.003695331684277117,-0.005520446066291943,-0.004351303447037935,-3.726597788045183e-05,-1.2316764923096003e-07,-1.6766415920077843e-05,-0.012441186230998887
36,0.0027631877548612476,0.4901945839744373,0.9999902766655788,-5.780441164791192e-06,-0.0037384793735931554,-0.005643131359327849,-0.004338185302913189,-1.933920975716319e-05,-1.3799243113289093e-07,-1.6425428549498713e-05,-0.013423094466713456
37,0.002801296243083825,0.4897125398034134,0.9999912462674527,-4.931862291436636e-06,-0.0037599179548562533,-0.005764856090372444,-0.004324736073613167,-2.514552033971995e-05,-1.59787596097543e-07,-1.6070274028345453e-05,-0.014446182731268298
38,0.002839486555533082,0.4892234292989907,0.9999920954546454,-4.227446680801109e-06,-0.003793685011383314,-0.005879633085938392,-0.004290115088224411,-5.857340283910162e-07,-1.8776444499635608e-07,-1.570147413331942e-05,-0.015511193737169932
39,0.002879122393408565,0.48875381616111857,0.9999928395968986,-3.6037297166949436e-06,-0.0038216135017960645,-0.005987304702029434,-0.0042534396052360535,-6.899927029735409e-07,-2.2107392159105786e-07,-1.5320654562015808e-05,-0.01661770078815005
40,0.0029202568540864942,0.4883025300379085,0.9999934908197022,-3.053420321837654e-06,-0.003843445429048396,-0.006088091462855003,-0.00421480368822813,-6.247474857445923e-07,-2.5922533667051863e-07,-1.4929560622511571e-05,-0.017765152024997066
41,0.0029629624161517107,0.48787114857298736,0.9999940598977732,-2.5708525683896327e-06,-0.003859231815482023,-0.006182258801628629,-0.00416912604123354,-7.256701906044327e-07,-3.0205135313013144e-07,-1.4529829792938701e-05,-0.018952877871574493
42,0.003007308770267496,0.48746004934597975,0.9999945564344142,-2.150329251232249e-06,-0.003868884114689829,-0.006270039125984402,-0.004120537545531988,-7.205958922895661e-07,-3.493907466751515e-07,-1.4122972227541724e-05,-0.020180086570393087
43,0.0030533811912623506,0.48707033702594604,0.9999949889653778,-1.7862343772426786e-06,-0.0038724270604087153,-0.006351588654028777,-0.004068034701049328,-7.707596410000406e-07,-4.011929935664436e-07,-1.371044091816645e-05,-0.021445874282034406
44,0.003101253726249541,0.4867028093626701,0.9999953650537619,-1.4730253879455886e-06,-0.0038699183365255765,-0.006427000683611445,-0.004011637531220913,-8.291771109725232e-07,-4.5742514090222285e-07,-1.3293577350872605e-05,-0.022749226445043576
45,0.003150999835513256,0.486358148337429,0.9999956913798091,-1.2054516513466222e-06,-0.00386143076626829,-0.006496393152692983,-0.003951256163418293,-8.989758839561546e-07,-5.180513866133267e-07,-1.287362802119456e-05,-0.02408901948844154
46,0.0032026977722372503,0.4860369375987415,0.9999959738339739,-9.785195623107131e-07,-0.0038470519301729376,-0.006559877802978298,-0.003886985592544079,-9.744634326125379e-07,-5.830256467465979e-07,-1.2451752405511128e-05,-0.02546402371384227
47,0.003256428659613323,0.4857397218285752,0.9999962176012721,-7.875326112485955e-07,-0.0038268927478601446,-0.006617549076456069,-0.003818840254098177,-1.060981389855442e-06,-6.522822543477314e-07,-1.202903332010241e-05,-0.02687290622636667
48,0.003312276143199042,0.48546693738756225,0.9999964272399701,-6.281096812717114e-07,-0.0038010730945068675,-0.006669542340902925,-0.003746958216652274,-1.1555100627447246e-06,-7.257543478554483e-07,-1.1606483274444777e-05,-0.02831423406042346
49,0.0033703300744489977,0.48521890549093644,0.999996606750772,-4.961548314948677e-07,-0.003769733850172207,-0.006715940353168592,-0.0036714866291731596,-1.2575389973790152e-06,-8.033437705968931e-07,-1.1185046226674997e-05,-0.029786477903307546
50,0.0034306802337115416,0.4849958467420522,0.9999967596425465,-3.879451377720048e-07,-0.00373302627557916,-0.006756844443535885,-0.0035925614647567272,-1.3674912224814761e-06,-8.850058031752274e-07,-1.0765604687792329e-05,-0.03128801609701699
51,0.0034934218030856063,0.4847978992252141,0.9999968889947044,-3.0009086107682846e-07,-0.003691120890592821,-0.00680703799064567,-0.003510457696393132,-1.4773621614949661e-06,-9.721073410553975e-07,-1.0348758497258017e-05,-0.03281716518743553
52,0.0035598145654531137,0.48456605859727453,0.9999969969278223,-2.237581742693124e-07,-0.0036443319660375666,-0.006866687377229715,-0.003430580487474799,-1.4439530104937148e-06,-1.0656073640738736e-06,-9.934805285628484e-06,-0.034372215765326425
53,0.0036299774678502567,0.4842995124484053,0.9999970847211216,-1.589495501693553e-07,-0.003593152084321817,-0.006935922254542925,-0.0033534211106598377,-1.4410024959943257e-06,-1.1664652789092672e-06,-9.523925434788165e-06,-0.03595142706839454
54,0.003704053176743098,0.48399580580553586,0.9999971534600621,-1.0548899690477688e-07,-0.0035378843558081124,-0.0070151619122755466,-0.003284970996901393,-1.1953386547247646e-06,-1.2754912755593337e-06,-9.116256866865669e-06,-0.03755309089220743
55,0.003782182548379037,0.48365484729304553,0.9999972040582958,-6.331050193268475e-08,-0.0034794838732873333,-0.007104503199617683,-0.003220170270651579,-1.1371720347597147e-06,-1.3936367870373332e-06,-8.711939901652736e-06,-0.03917554219134081
56,0.003864530876591472,0.4832739495982905,0.9999972372637871,-3.20908377002315e-08,-0.0034182012864767716,-0.007109723813952221,-0.0031587183475494385,-1.0976469866363914e-06,-1.4993170681767915e-06,-8.312457828576385e-06,-0.04081729280421414
57,0.003942873729665205,0.4832161461744979,0.9999972573163816,-2.0954695675122677e-08,-0.0033564087080865273,-0.007139431076941159,-0.0030541932210326195,-2.168037826777436e-05,-1.6393066812086508e-06,-7.919195975572298e-06,-0.042476695614037184
